artist_name,birthday,country,startyear
NOIR,NA,NA,NA
YURI (Girls’ Generation),12/5/1989,NA,2007
fromis_9,NA,Foreign,2017
BIGBANG,NA,Foreign,2006
EXID,NA,Foreign,2012
Girls' Generation-Oh!GG,NA,Foreign,2018
PENTAGON,NA,NA,NA
Red Velvet,NA,Foreign,2014
GOT7,NA,Foreign,2014
GD X TAEYANG,NA,Foreign,2014
BTS,NA,Foreign,2013
OH MY GIRL,NA,Foreign,2015
(G)I-DLE,NA,Foreign,2018
Hitchhiker,NA,NA,NA
EXO,NA,Foreign,2012
HyunA,6/6/1992,NA,2006
UP10TION,NA,Foreign,2015
I.O.I,NA,Foreign,2016
Hyolyn,12/11/1990,NA,2010
NCT,NA,Foreign,2016
THE BOYZ,NA,Foreign,2017
Deepshower,1/6/1994,NA,2012
Apink,NA,Foreign,2011
SEVENTEEN,NA,Foreign,2015
LOOΠΔ,NA,NA,NA
PRODUCE 48,NA,NA,NA
EXO-CBX,NA,Foreign,2016
Stray Kids,NA,Foreign,2017
SUPER JUNIOR-D&E,NA,NA,NA
SEUNGRI,12/12/1990,NA,2005
Active Bird Community,NA,NA,2007
Parcels,NA,United States,2014
Sure Sure,NA,NA,NA
Craft Spells,NA,United States,2009
Sorcha Richardson,9/26/1990,Foreign,2012
Future Generations,NA,NA,NA
Neighbor Lady,NA,NA,NA
Rolling Blackouts Coastal Fever,NA,United States,2013
The F-16's,NA,NA,NA
Flock of Dimes,4/16/1986,NA,2003
Moss,NA,NA,NA
Plastic Picnic,NA,NA,NA
Cloud Control,NA,United States,2007
Winnetka Bowling League,6/2/1987,NA,2010
San Cisco,NA,United States,2009
Public Access T.V.,NA,NA,NA
The Undercover Dream Lovers,NA,NA,NA
Jonathan Something,5/16/1951,NA,1970
REYNA,NA,NA,NA
Wet Leather,NA,NA,NA
Cayucas,NA,United States,2012
CHAPPO,NA,NA,NA
Nico Yaryan,NA,NA,NA
Day Wave,NA,United States,2014
I Me Mine,NA,NA,NA
Gerry Cinnamon,10/1/1984,NA,2005
Hippo Campus,NA,Foreign,2013
Lost Beach,NA,NA,NA
Ages and Ages,NA,Foreign,2009
Jack and Eliza,NA,NA,NA
Jade Bird,10/1/1997,Foreign,2015
Lawrence Arabia,NA,NA,NA
Man Man,NA,United States,2003
Diskopunk,NA,NA,NA
"Albert Hammond, Jr.",4/9/1980,NA,1999
Baio,9/22/1960,NA,1971
Lola Marsh,NA,Foreign,2013
Born Ruffians,NA,Foreign,2002
The Chamanas,NA,Foreign,2013
Frills,NA,NA,NA
BROS,NA,Foreign,1986
Caroline Rose,10/19/1989,United States,2012
The Voidz,NA,NA,2013
Swimm,NA,NA,NA
American Royalty,NA,NA,NA
Sjowgren,NA,Foreign,1995
The Features,NA,United States,1994
Say Sue Me,NA,United States,2012
Magic Bronson,NA,NA,NA
Mt. Joy,NA,United States,2016
Morningsiders,NA,NA,NA
Cullen Omori,NA,United States,2007
DOPE LEMON,4/27/1986,NA,2005
POP ETC,NA,United States,2005
Natalie Prass,3/15/1986,Foreign,NA
Toro y Moi,11/7/1986,NA,2008
Manchester Orchestra,NA,United States,2004
Wilderado,NA,United States,2015
Like Swimming,NA,NA,NA
Declan McKenna,12/24/1998,NA,2014
Sonny Smith,11/15/1936,NA,NA
Geowulf,NA,United States,2016
HalfNoise,NA,United States,2010
The Dig,NA,NA,NA
Riscas,NA,NA,NA
Magic Potion,NA,NA,NA
Tennis,NA,NA,NA
Arlie,NA,NA,NA
Foreign Air,NA,NA,NA
Okkervil River,NA,United States,1998
The Walters,NA,United States,2014
Moon Taxi,NA,United States,2006
Hot Chocolate,NA,NA,NA
Al Green,4/13/1946,NA,1955
Johnny Nash,8/19/1940,NA,1956
Clarence Carter,1/14/1936,NA,1962
Percy Sledge,11/25/1940,NA,1960
The Chiffons,NA,United States,1960
Marlena Shaw,9/22/1942,NA,1967
Eddie Floyd,6/25/1937,NA,1956
Mary Wells,5/13/1943,NA,1960
Sharon Jones & The Dap-Kings,5/4/1956,United States,1996
Rex Williams,7/20/1933,NA,NA
Patty & The Emblems,NA,NA,NA
Funkadelic,NA,Foreign,1968
The Meters,NA,United States,1965
The Five Stairsteps,NA,United States,1965
Four Mints,NA,NA,NA
The Crystals,NA,United States,NA
Don Covay,3/24/1936,NA,NA
Bettye Swann,10/24/1944,NA,1964
Penny & The Quarters,NA,NA,NA
WALK THE MOON,NA,United States,2006
Carly Rae Jepsen,11/21/1985,NA,2007
Macklemore & Ryan Lewis,NA,NA,NA
Sky Ferreira,7/8/1992,NA,2009
Sheppard,NA,United States,2009
OV7,NA,Foreign,1989
Magneto,NA,NA,NA
Fey,7/21/1973,Foreign,1979
Kabah,NA,NA,NA
Tarkan,10/17/1972,NA,1992
Paradisio,NA,Foreign,1994
The Sacados,NA,NA,NA
Marta Sánchez,5/8/1966,NA,1985
El General,NA,NA,1990
Azul Azul,NA,Foreign,1990
Calo,NA,NA,NA
Chayanne,6/28/1968,Foreign,1978
Mr. President,NA,Foreign,1991
Alejandra Guzman,2/9/1968,NA,1988
Vilma Palma e Vampiros,NA,NA,NA
Sentidos Opuestos,NA,Foreign,1993
Ricardo Arjona,1/19/1964,NA,1985
Gloria Trevi,2/15/1968,NA,1989
Onda Vaselina,NA,Foreign,1989
Los Fantasmas del Caribe,NA,NA,NA
O-Zone,NA,Foreign,1999
Kevin Lyttle,9/14/1976,NA,2001
Monica Naranjo,5/23/1974,NA,1994
Timbiriche,NA,Foreign,1982
Azucar Moreno,NA,Foreign,1984
Playahitty,NA,Foreign,1994
MDO,NA,United States,1997
Ragazzi,NA,NA,NA
Mercurio,NA,NA,NA
Lucero,8/29/1969,Foreign,1980
Tegan and Sara,9/19/1980,Foreign,1995
Icona Pop,NA,Foreign,2009
Avicii,9/8/1989,NA,2006
Charles Hamilton,11/10/1987,United States,2005
Jason Derulo,9/21/1989,NA,2006
Flo Rida,9/16/1979,NA,2000
DEV,7/2/1989,NA,2009
Adel Sweezy,NA,NA,NA
Massari,12/10/1980,Foreign,2001
Aymane Serhani,NA,NA,NA
Autostrad,NA,Foreign,2007
Balqees,10/20/1988,Foreign,2011
Oka,NA,NA,NA
Nancy Ajram,5/16/1983,NA,1998
Ramy Sabry,3/15/1978,NA,2000
Maya Diab,11/10/1980,NA,2001
Chawki,12/31/1982,NA,2008
Ahmed Gamal,NA,NA,NA
Dj Youcef,NA,NA,NA
Hassan El Shafei,10/9/1982,NA,NA
L'Algérino,NA,NA,NA
The5,NA,Foreign,2015
DJ Hamida,NA,NA,NA
Joseph Attieh,5/14/1987,NA,2005
Myriam Fares,5/3/1983,Foreign,2003
Tiiwtiiw,NA,NA,NA
Nassif Zeytoun,9/25/1988,NA,2010
Samira Said,1/10/1958,NA,1975
Samo Zaen,11/10/1979,NA,NA
El Sawareekh,NA,NA,NA
Hatim Ammor,NA,NA,NA
Amr Diab,10/11/1961,NA,1985
Layali Project,NA,NA,NA
Douzi,4/30/1985,NA,NA
Artmasta,NA,NA,NA
Marwa Loud,12/12/1996,NA,2016
Nicole Saba,6/26/1974,Foreign,NA
Shehta Kareika,NA,NA,NA
جريني,NA,NA,NA
Ali B,10/16/1981,NA,1999
Diana Haddad,10/1/1976,Foreign,1992
Hakim,NA,NA,NA
Amal Hijazi,2/20/1977,NA,2000
Khaled,2/29/1960,NA,1974
Eyad Tannous,NA,NA,1952
DJ Taye,NA,NA,NA
DJ Orange Julius,NA,NA,NA
Jlin,7/30/1987,NA,2008
Aylu,NA,NA,NA
DJ Rashad,10/9/1979,NA,1998
Dj Spaldin,10/18/1984,NA,2000
DJ Manny,NA,United States,1990
Jana Rush,NA,NA,2003
DJ Earl,10/9/1979,NA,1998
Rootless,NA,NA,NA
Distal,NA,NA,NA
DJ Chap,NA,NA,NA
RP Boo,3/11/1972,NA,1997
Teklife,NA,NA,NA
DJ Roc,9/11/1989,NA,2007
Dream Continuum,NA,NA,NA
DJ Curt,NA,United States,2006
Nangdo,NA,NA,NA
Druguse,NA,NA,NA
Kush Jones,NA,NA,NA
Taso,NA,NA,NA
Slick Shoota,NA,NA,NA
DJ Rashad & DJ Manny,10/9/1979,NA,1998
STAY-HiGH,NA,NA,NA
Nick Hook,NA,United States,2008
NameBrandSound,NA,NA,NA
DJ Nate,NA,NA,NA
Lin-Manuel Miranda,1/16/1980,NA,1999
Dessa,5/23/1981,United States,2005
Tommy Torres,11/25/1971,NA,1999
Gilberto Santa Rosa,8/21/1962,NA,1976
Gloria Estefan,9/1/1957,NA,1975
Joell Ortiz,7/6/1980,NA,1998
Pedro Capó,NA,NA,1993
Pj Sin Suela,8/5/1989,NA,NA
Rita Moreno,12/11/1931,NA,1943
John Leguizamo,7/22/1964,NA,1984
Ednita Nazario,NA,NA,1961
Original Broadway Cast of On Your Feet,NA,NA,NA
Trooko,NA,NA,NA
Charlotte Lawrence,6/8/2000,NA,2014
Nick Jonas,9/16/1992,NA,2000
Lost Kings,NA,United States,2014
Susan H,NA,NA,NA
Elijah Woods x Jamie Fine,NA,Foreign,2014
ayokay,NA,NA,NA
Brynn Elliott,11/11/1994,NA,2014
Tove Styrke,11/19/1992,NA,2009
Boy In Space,NA,Foreign,2012
THEY.,NA,NA,NA
Chelsea Cutler,2/11/1997,United States,NA
Troye Sivan,6/5/1995,United States,NA
FINNEAS,7/30/1997,NA,2011
MØ,NA,NA,NA
Carlie Hanson,5/18/2000,NA,2016
Zak Abel,3/1/1995,Foreign,2014
Nikki Vianna,NA,NA,2003
Quincy Mumford,12/18/1991,NA,2008
Caustic The MC,NA,United States,2002
French Cassettes,NA,NA,NA
Pink Sweat$,2/14/1992,NA,2018
KamiKwazi,NA,NA,NA
Ex-poets,NA,NA,NA
D33J,10/30/1990,NA,2011
Madson.,NA,NA,NA
B. Green,3/20/1946,NA,NA
Tess Clare,NA,NA,NA
HideMySoul,NA,NA,NA
matt mcwaters,NA,United States,2008
Grown George,NA,NA,NA
Lullatone,NA,Foreign,2003
Art School Girlfriend,NA,NA,NA
Mïrändä,NA,NA,NA
Eddy I.,NA,NA,NA
J Elle,NA,NA,NA
Nala,NA,NA,NA
Eli McCoy,NA,NA,NA
Anson Seabra,3/20/1989,Foreign,NA
Ryan McMullan,NA,NA,NA
Adam Daniel,3/4/1938,NA,NA
Ivy Adara,NA,NA,NA
Primaveras,NA,NA,NA
KOPS,NA,NA,NA
SDP,NA,NA,NA
Shields,NA,NA,NA
Ray Fuego,NA,NA,NA
Public Library Commute,NA,NA,NA
Silent Laika,NA,NA,NA
Steve Tyssen,NA,United States,2005
Miami Verse,NA,NA,NA
Nat Vazer,NA,United States,2018
SHOD YOUNG,NA,NA,NA
SVIBES,2/28/1984,NA,2006
Hensley,NA,NA,NA
Colette Lush,NA,NA,NA
Squibs,NA,NA,NA
Laney,NA,NA,NA
ARIA,NA,NA,NA
Lil House Phone,NA,NA,NA
Hermit and the Recluse,NA,NA,NA
Meer,NA,NA,NA
Amaru,NA,NA,NA
vnp,NA,NA,NA
Franky Jas,9/18/1940,NA,1951
Loko Luca,7/24/1982,NA,NA
Lil Fibo,NA,NA,NA
Dutch Revz,NA,NA,NA
atm,NA,NA,NA
Sirpreme,NA,NA,NA
Ronin,NA,NA,NA
Why Khaliq,NA,NA,NA
CZARnicholas,NA,NA,NA
YTK,NA,NA,NA
Mayze,NA,NA,NA
Feign,NA,NA,NA
Chewiie Clipz,NA,NA,NA
Truthcity,NA,NA,NA
Michael Aristotle,NA,NA,NA
Jeremiahbgv,NA,NA,NA
Jay Portal,5/15/1998,NA,2017
B. Aull,7/1/1985,United States,2004
Georgie Raft,1895-09-26,NA,1924
AfterSound,NA,NA,NA
TYNI,NA,NA,NA
Midnight Quickie,NA,NA,NA
Sirken,3/4/1950,NA,NA
Ionika,NA,NA,NA
Old Swing,NA,NA,NA
Olivia Grace,NA,NA,NA
Dutchkid,NA,NA,NA
Dylan Bernard,NA,NA,NA
Falcons,NA,NA,NA
Action Bronson,12/2/1983,NA,2008
Free Nationals,NA,Foreign,NA
Troy Ave,11/23/1985,NA,2009
Kelvyn Colt,NA,NA,NA
IshDARR,8/28/1996,NA,2015
Lil Duval,6/12/1977,NA,2001
Ralo,NA,NA,2015
K CAMP,4/27/1990,United States,2009
June,NA,NA,NA
Suigeneris,NA,Foreign,1971
Emilio Rojas,NA,NA,2004
Tru Life,3/19/1976,NA,1997
Young Dolph,7/27/1985,United States,2008
Damond Blue,NA,NA,NA
Cierra Ramirez,3/10/1995,NA,2006
Tokyo Jetz,NA,NA,2013
Lyrica Anderson,12/18/1988,United States,2008
Dounia,3/31/1997,NA,2013
Fre$H,9/21/1981,NA,1996
That Girl Lay Lay,NA,NA,NA
Allstar JR,NA,NA,NA
Skyetunes,9/1/1993,NA,2007
Cal-A,NA,NA,NA
MAJOR.,NA,NA,NA
Supa Bwe,10/4/1989,NA,2008
Craig Xen,10/24/1994,NA,2013
Lloyd,1/3/1986,United States,1996
Bun B,3/19/1973,NA,1987
Baby E,NA,NA,NA
Fijimacintosh,6/18/1999,NA,2014
FMB DZ,NA,NA,NA
Reese LAFLARE,NA,NA,2011
MelyMel,NA,NA,NA
Robb Bank$,9/24/1994,United States,2009
Tobi Lou,11/3/1988,NA,2015
BandGang,NA,NA,NA
KiingRod,NA,United States,2016
KIDS SEE GHOSTS,NA,NA,NA
Desiigner,5/3/1997,NA,2014
070 Shake,6/13/1997,NA,2015
Valee,8/27/1988,United States,2015
Raekwon,1/12/1970,United States,1991
Twista,11/27/1973,NA,1989
CyHi The Prynce,9/15/1984,United States,2005
Common,3/13/1972,NA,1991
Cam’ron,2/4/1976,NA,1993
Tee Grizzley,3/23/1994,NA,2016
Mike WiLL Made-It,3/23/1989,United States,2005
The Heavy,NA,Foreign,2007
Souls Of Mischief,NA,United States,1993
Jadakiss,5/27/1975,NA,1994
Lupe Fiasco,2/16/1982,NA,2000
F.L.Y. (Fast Life Yungstaz),NA,United States,2009
Joyner Lucas,8/17/1988,NA,2007
City Girls,NA,United States,2017
Shy Glizzy,12/12/1992,United States,2010
YBN Almighty Jay,8/6/1999,United States,2015
Blac Youngsta,4/8/1990,NA,2012
Lil Gnar,NA,NA,2016
DJ Holiday,11/29/1981,NA,2006
YoungBoy Never Broke Again,10/20/1999,NA,2014
Smokepurpp,5/15/1997,United States,2010
Rae Sremmurd,NA,United States,2008
Q Money,NA,NA,NA
A Boogie Wit da Hoodie,12/6/1995,NA,2016
YBN Cordae,8/26/1997,United States,NA
BlocBoy JB,5/19/1996,NA,2012
Cuban Doll,NA,NA,NA
NAV,11/3/1989,NA,2008
Christina Milian,9/26/1981,United States,1996
Cassie,8/26/1986,NA,2005
Keri Hilson,12/5/1982,NA,2004
T-Pain,9/30/1985,NA,2004
Akon,4/16/1973,United States,1996
Jay Sean,3/26/1981,NA,2002
Dynoro,12/25/1999,NA,2013
Ava Max,2/16/1994,NA,2013
Little Mix,NA,Foreign,2011
MC L da Vinte,NA,NA,NA
MC Kevin o Chris,NA,NA,NA
XO Cupid,12/22/1982,United States,2000
Lexa,2/22/1995,NA,2013
juan karlos,2/5/2001,NA,2014
Dr Stiig,NA,NA,NA
Kevin Roldan,3/8/1993,NA,NA
Dansu,NA,NA,NA
Dinah Jane,6/22/1997,NA,2011
Damas Gratis,NA,Foreign,2000
The Prince Karma,NA,NA,NA
MC Kevinho,9/15/1998,NA,2017
Kenny Man,NA,NA,NA
Luísa Sonza,NA,NA,NA
Sandy,NA,NA,NA
No Rome,8/30/1997,Foreign,2011
Burry Soprano,NA,NA,NA
"Bobby ""Boris"" Pickett & The Crypt-Kickers",NA,NA,NA
Lennon Stella,8/13/1999,NA,2018
Smith & Thell,NA,NA,NA
Wesley Safadão,NA,NA,2007
Yasmin Santos,NA,NA,NA
Sivas,NA,NA,NA
Zack Knight,NA,Foreign,2011
Alok,8/26/1991,NA,2004
Broederliefde,NA,Foreign,2013
Michael Brun,5/19/1992,NA,2011
Vintage Culture,7/7/1993,NA,2011
Lartiste,7/4/1985,NA,2006
Takagi & Ketra,NA,NA,NA
Aya Nakamura,5/10/1995,NA,2015
Fred De Palma,11/3/1989,NA,2008
Benjamin Ingrosso,9/14/1997,NA,2006
Noizy,9/27/1986,NA,2005
Ycee,1/29/1993,NA,2012
Allj,NA,NA,NA
Yogi,NA,NA,NA
Steel Banglez,2/5/1987,NA,2002
FouKi,NA,NA,NA
Badal,NA,NA,NA
RIRI,NA,NA,NA
Melissa,NA,NA,NA
Descemer Bueno,7/5/1971,Foreign,1990
Garry Sandhu,4/4/1984,NA,2010
Field Mob,NA,United States,1999
Eve,11/10/1978,NA,1996
Kardinal Offishall,5/11/1976,NA,1994
Juvenile,3/26/1975,NA,1991
Black Star,NA,United States,1997
Trick Daddy,9/27/1974,NA,1996
Silkk The Shocker,6/18/1975,United States,1996
Rhymefest,7/6/1977,NA,1996
Lord Tariq,NA,United States,1996
Murder Inc.,NA,NA,NA
Xzibit,9/18/1974,Foreign,1994
Rich Boy,9/2/1983,NA,1999
Three 6 Mafia,NA,United States,1991
DMX,12/18/1970,United States,1991
Clipse,NA,Foreign,1992
Sauce Money,9/6/1969,Foreign,1991
Lil Scrappy,1/19/1984,NA,1996
Black Rob,6/8/1968,NA,1993
Beanie Sigel,3/6/1974,NA,1995
Ying Yang Twins,NA,United States,1996
Shade Sheist,10/22/1982,NA,1994
Mike Jones,11/18/1981,NA,2001
Lloyd Banks,4/30/1982,United States,1999
Dem Franchize Boyz,NA,United States,2002
Crime Mob,NA,United States,2002
Boosie Badazz,11/14/1982,NA,1999
Ryan Adams,11/5/1974,NA,1990
k.d. lang,11/2/1961,NA,1981
Tift Merritt,1/8/1975,United States,1998
Taj Mahal,NA,NA,NA
Old Crow Medicine Show,NA,Foreign,1998
Lucinda Williams,1/26/1953,NA,1978
Richard Thompson,4/3/1949,NA,1967
Melissa Etheridge,5/29/1961,NA,1985
Uncle Tupelo,NA,United States,1987
Ry Cooder,3/15/1947,Foreign,1967
Loudon Wainwright III,9/5/1946,United States,1967
Patty Griffin,3/16/1964,United States,1992
The Jayhawks,NA,Foreign,1985
Joan Armatrading,12/9/1950,NA,1972
Bonnie Raitt,11/8/1949,NA,1971
Son Volt,NA,United States,1994
Whiskeytown,NA,Foreign,1994
Neko Case,9/8/1970,United States,1994
Mallrat,9/25/1998,NA,2015
Rasmus Faber,5/16/1979,NA,1999
Tessa Violet,3/20/1990,NA,2007
Chelsea Jade,5/11/1989,Foreign,NA
GOLDHOUSE,NA,NA,2012
Wafia,8/4/1993,NA,NA
Years & Years,NA,NA,NA
Ryan Pulford,NA,Foreign,2015
Hayden James,NA,NA,2013
King Henry,NA,NA,NA
Louis Mattrs,NA,NA,NA
LOYAL,NA,NA,NA
Glades,NA,NA,NA
Andrey Azizov,NA,NA,2010
Sophie Simmons,7/7/1992,NA,NA
Off Bloom,NA,NA,NA
Caroline Pennell,12/27/1995,NA,2012
Rynx,5/31/1992,NA,2011
Lookas,NA,United States,2013
Kailee Morgue,7/15/1998,NA,2017
SG Lewis,7/9/1994,NA,2014
Elohim,NA,NA,NA
Akacia,NA,NA,NA
Codeko,NA,Foreign,2014
Mauwe,NA,NA,NA
Hook N Sling,NA,United States,2007
SŸDE,NA,NA,NA
Ninajirachi,8/10/1999,Foreign,NA
Petit Biscuit,11/10/1999,NA,2015
Quinn XCII,5/6/1992,NA,2011
Naaz,NA,NA,2015
More Giraffes,NA,NA,NA
Griffin Stoller,NA,NA,NA
Jack Vallier,7/15/1988,NA,2014
George FitzGerald,NA,Foreign,2010
Nina Nesbitt,7/11/1994,NA,2011
StayLoose,4/14/1993,NA,2014
Honors,NA,NA,NA
Marnik,NA,Foreign,NA
KREAM,NA,Foreign,2015
SBK,NA,NA,NA
Filthy Gears,NA,Foreign,2006
Mistakay,7/31/1985,NA,NA
Westy,NA,NA,NA
Wiley,NA,NA,NA
ZXPH XLLXS,NA,NA,NA
Ruff Sqwad,NA,NA,2001
Rude Kid,NA,NA,NA
S-X,8/4/1992,NA,2010
Jammz,5/21/1991,Foreign,2002
Swifta Beater,NA,NA,NA
Zdot,NA,NA,NA
The Heavytrackerz,NA,NA,NA
Ghetts,10/9/1984,NA,2003
Policy,NA,NA,NA
Deeco,NA,NA,NA
Preditah,NA,Foreign,2005
Dexplicit,NA,NA,NA
Elf Kid,NA,Foreign,2012
Prince Rapid,NA,NA,2001
Zachary Gully,NA,NA,NA
Rebound X,NA,NA,NA
Jme,5/4/1985,NA,NA
Faze Miyake,6/26/1980,NA,2003
Blay Vision,5/4/1985,NA,NA
Chip,NA,NA,NA
Sir Spyro,NA,NA,2001
Outsider,NA,NA,NA
KURUPT FM,NA,NA,NA
Don Cotti,NA,NA,NA
True Tiger,NA,NA,NA
Darq E Freaker,2/14/1988,NA,2008
Low Deep,NA,NA,NA
Maniac,NA,NA,NA
Treble Clef,NA,NA,NA
Just Geo,NA,NA,NA
Tempa T,10/7/1984,NA,2000
LUX€ BOYZ,5/1/1986,Foreign,NA
DJ Q,8/16/1985,NA,2001
Dizzee Rascal,9/18/1984,Foreign,2000
Dave,NA,NA,NA
Chiedu Oraka,NA,NA,NA
Big Zuu,8/19/1995,Foreign,2015
Smoke Boys,NA,Foreign,2010
AJ Tracey,3/4/1994,Foreign,2009
Bugzy Malone,12/20/1990,NA,2010
Ard Adz,NA,NA,2009
Unknown T,8/17/1999,NA,2017
Swick,6/19/1979,NA,1998
Krept & Konan,NA,Foreign,2009
Yizzy,NA,Foreign,2017
Kojo Funds,3/30/1995,NA,2015
Jaykae,NA,NA,2008
PK,NA,NA,NA
P Money,4/8/1989,NA,2005
Big Narstie,11/16/1985,Foreign,NA
Ambush Buzzworl,1/3/1994,Foreign,2012
Boy Better Know,NA,Foreign,2005
The Manor,NA,NA,NA
Foreign Beggars,NA,Foreign,2003
Stormzy,7/26/1993,Foreign,2010
President T,NA,Foreign,1996
J-mal,NA,NA,NA
Gen,NA,NA,NA
Lethal Bizzle,9/14/1984,NA,2002
James Pyke,NA,NA,NA
Mayday,NA,NA,NA
Star.One,NA,NA,NA
Maxsta,NA,Foreign,2006
Manga Saint Hilare,NA,Foreign,2001
Devlin,5/7/1989,NA,2006
Mez,4/19/1990,United States,2010
Mercston,10/9/1984,NA,2003
Wrigz,NA,NA,NA
Peigh,NA,NA,NA
Franko Fraize,NA,Foreign,2007
Fountains Of Wayne,NA,United States,1995
The Darkness,NA,Foreign,2000
Aqua,NA,Foreign,1989
Bloodhound Gang,NA,United States,1988
Chumbawamba,NA,Foreign,1982
Rednex,NA,Foreign,1994
Marky Mark And The Funky Bunch,NA,United States,1991
J-Kwon,3/28/1986,NA,2003
Marilyn Manson,1/5/1969,NA,1989
The Ataris,NA,United States,1996
Simple Plan,NA,Foreign,1999
Petey Pablo,7/22/1973,NA,2001
Falco,2/19/1957,NA,1975
Phantom Planet,NA,United States,1994
Savage,NA,NA,NA
MIKA,8/18/1983,NA,2006
Mungo Jerry,NA,Foreign,1969
The Mary Nixons,NA,NA,NA
Axwell /\ Ingrosso,NA,NA,2014
Junior J,12/14/1922,NA,1940
Justin Mylo,11/7/1995,NA,2015
Phats & Small,NA,United States,1998
Throttle,NA,NA,NA
Felix Jaehn,8/28/1994,NA,2012
Purple Disco Machine,NA,NA,NA
D-Sol,NA,NA,2017
Life of Dillon,4/29/1988,NA,2008
Krystal Klear,NA,NA,NA
Lika Morgan,NA,NA,NA
Seizo,NA,NA,NA
Steve Brian,NA,NA,NA
Boston Bun,NA,NA,NA
Young Romantic,NA,NA,NA
Tom Staar,10/24/1982,NA,2009
High N Wild,NA,NA,NA
Pnau,NA,United States,1999
Tommie Sunshine,3/26/1971,United States,1993
Louie Vega,6/12/1965,NA,NA
Duke Dumont,NA,NA,2007
Robbie Rivera,8/7/1973,Foreign,1996
RAC,NA,NA,NA
Keeno,2/26/1994,Foreign,2010
Tom Jones,6/7/1940,NA,1963
The Turtles,NA,United States,1965
Manfred Mann,NA,Foreign,1962
The Angels,NA,United States,1958
Herman's Hermits,NA,Foreign,1964
Milo Greene,NA,United States,2010
Devarrow,NA,NA,NA
Traveller,NA,NA,NA
Shakey Graves,6/4/1987,NA,2007
Houndmouth,NA,Foreign,2011
Family and Friends,NA,NA,NA
WILD,NA,NA,NA
Twin Forks,NA,United States,2011
Alabama Shakes,NA,United States,2009
Bibio,12/4/1978,Foreign,2005
Haley Heynderickx,5/28/1993,United States,2015
Nathaniel Rateliff & The Night Sweats,10/7/1978,United States,2005
The Revivalists,NA,United States,2007
Liz Cooper & the Stampede,NA,United States,2014
The War and Treaty,NA,United States,2014
Young Pines,NA,NA,NA
Ezra Vine,NA,NA,NA
Graham Colton,11/6/1981,NA,2002
Graeme James,NA,NA,NA
Avalanche City,NA,Foreign,2009
The Harmaleighs,NA,NA,NA
Dispatch,NA,United States,1996
firekid,10/3/1986,United States,2010
The Wind and The Wave,NA,NA,2013
Chef'Special,NA,Foreign,2008
Fruit Bats,NA,United States,1997
MAGIC GIANT,NA,United States,2014
Tom West,11/22/1939,NA,NA
The Avett Brothers,NA,United States,2000
Valerie June,1/10/1982,United States,NA
Dead Man Winter,NA,United States,2003
Quiet Life,NA,NA,NA
Dotan,10/26/1986,NA,NA
Falls,NA,NA,NA
Dustin Tebbutt,NA,NA,2013
A Blaze of Feather,4/24/1987,Foreign,2008
Ten Fé,NA,NA,NA
San Fermin,NA,NA,NA
Matthew And The Atlas,11/7/1990,NA,2007
James Yuill,7/20/1981,Foreign,NA
Lowland Circus,NA,NA,NA
Barry Louis Polisar,NA,NA,NA
The Secret Sisters,NA,NA,2009
James Hype,11/28/1989,NA,2016
Matt Terry,5/20/1993,NA,2016
John De Sohn,NA,NA,NA
Hot Shade,NA,NA,NA
Vigiland,NA,Foreign,2014
Tyron Hapi,3/15/1993,United States,2012
Vargas & Lagola,1882-04-19,NA,1898
Ummet Ozcan,8/16/1982,NA,2006
Bastille,NA,NA,NA
Davai,NA,NA,NA
Janieck,6/24/1994,NA,2004
Rachel Platten,5/20/1981,NA,2003
LVNDSCAPE,NA,NA,NA
HEDEGAARD,7/25/1988,Foreign,2009
ALMA,NA,NA,NA
Bebe Rexha,8/30/1989,NA,2010
Rhys,NA,NA,NA
Quintino,9/21/1985,Foreign,2001
Bad Wolves,NA,United States,2017
Saliva,NA,NA,NA
DIAMANTE,9/7/1996,United States,2013
Badflower,NA,United States,2013
THE FEVER 333,NA,United States,2017
Hollywood Undead,NA,United States,2005
Mastodon,NA,United States,2000
Theory of a Deadman,NA,Foreign,1999
Red Sun Rising,NA,Foreign,2007
Trapt,NA,United States,1995
Starset,NA,United States,2013
As Lions,NA,Foreign,2015
Sixx:A.M.,NA,United States,2007
Cold,NA,NA,NA
fun.,NA,United States,2008
Corinne Bailey Rae,2/26/1979,NA,1998
Bobby McFerrin,3/11/1950,NA,1970
Mark Ronson,9/4/1975,United States,1993
Bob Seger,5/6/1945,NA,1961
Harry Belafonte,3/1/1927,NA,1949
Grits,NA,NA,NA
Junior Senior,NA,Foreign,1998
Stevie Nicks,5/26/1948,NA,1966
John Travolta,2/18/1954,NA,1972
War,NA,NA,NA
Jesse McCartney,4/9/1987,NA,1994
Z,NA,NA,NA
GTA,NA,NA,NA
Nevada,NA,NA,NA
Sage The Gemini,6/20/1992,United States,2008
Adam Vida,NA,NA,2001
Big Gigantic,NA,United States,NA
Tinashe,2/6/1993,United States,2000
Vice,NA,NA,NA
Kranium,NA,Foreign,2013
Fetty Wap,6/7/1991,NA,2013
Zay Hilfigerrr,NA,NA,NA
DJ Esco,12/31/1990,United States,2008
Aanysa,NA,Foreign,2012
Cashmere Cat,11/29/1987,NA,2006
KDA,NA,Foreign,2018
Joey Bada$$,1/20/1995,NA,2010
Lao Ra,7/22/1987,Foreign,2016
